"FID"	"IID"	"Sigs160.Bindea_Cytotoxic.cells"	"Sigs160.Bindea_DC"	"Sigs160.Bindea_Eosinophils"	"Sigs160.Bindea_iDC"	"Sigs160.Bindea_Lymph.vessels"
"TCGA-4C-A93U"	"TCGA-4C-A93U"	-0.002411113	0.035426246	0.116902842	0.103090214	0.041121955
"TCGA-QD-A8IV"	"TCGA-QD-A8IV"	-0.02757125	-0.092277649	0.105616258	0.011915601	0.027763873
"TCGA-DE-A69K"	"TCGA-DE-A69K"	-0.056290102	-0.014322944	0.098238132	0.060351948	-0.032767384
"TCGA-DE-A69J"	"TCGA-DE-A69J"	-0.073384314	0.025896374	0.096298449	0.092898629	-0.004068343
"TCGA-DE-A7U5"	"TCGA-DE-A7U5"	-0.039030814	0.035360923	0.108179383	0.078848516	0.01388623
"TCGA-FY-A76V"	"TCGA-FY-A76V"	-0.051557248	-0.011149877	0.122888732	0.08689864	-0.083366055
"TCGA-MK-A84Z"	"TCGA-MK-A84Z"	-0.070610319	-0.104636682	0.104001364	0.034733653	-0.006633614
"TCGA-33-AASD"	"TCGA-33-AASD"	-0.074924086	-0.146412788	0.044139046	0.070972887	0.117797504
"TCGA-33-AASL"	"TCGA-33-AASL"	0.002639595	-0.088345514	0.025825384	0.019471316	0.09250631
"TCGA-NK-A7XE"	"TCGA-NK-A7XE"	-0.051487416	-0.135134253	0.051250665	0.066666076	-0.080457362
"TCGA-XC-AA0X"	"TCGA-XC-AA0X"	-0.020327038	0.040691699	0.076892857	0.09808654	0.045845131
"TCGA-33-AASI"	"TCGA-33-AASI"	-0.016193488	-0.038944806	0.064060328	0.029009563	-0.00372364
"TCGA-33-AASJ"	"TCGA-33-AASJ"	-0.030106556	-0.113139951	0.033152044	0.027843628	-0.039203267
"TCGA-6A-AB49"	"TCGA-6A-AB49"	-0.105281368	-0.196193905	0.041899565	0.0185767	-0.012596242
"TCGA-33-AAS8"	"TCGA-33-AAS8"	-0.060932028	-0.082879486	0.036814706	0.040610523	0.12343256
"TCGA-LA-A7SW"	"TCGA-LA-A7SW"	-0.122791258	-0.11083329	0.052246366	0.046838358	0.197257756
"TCGA-33-AASB"	"TCGA-33-AASB"	-0.089323525	-0.147650049	0.071301493	0.034692065	-0.000700809
"TCGA-56-A62T"	"TCGA-56-A62T"	-0.07290486	-0.101582579	0.069413813	0.088696014	0.084757771
"TCGA-GN-A9SD"	"TCGA-GN-A9SD"	NA	NA	NA	NA	NA
